angle_rad,band,kx_Ainv,ky_Ainv,sx,sy,sz,helicity
0.0,lower,0.05,0.0,0.0,-0.9284766908852595,-0.3713906763541036,-0.9284766908852595
0.0,upper,0.05,0.0,0.0,0.9284766908852595,0.3713906763541036,0.9284766908852595
0.08726646259971647,lower,0.04980973490458728,0.004357787137382908,0.08092207561799258,-0.9249435567616641,-0.3713906763541038,-0.9284766908852596
0.08726646259971647,upper,0.04980973490458728,0.004357787137382908,-0.08092207561799258,0.9249435567616641,0.37139067635410355,0.9284766908852596
0.17453292519943295,lower,0.0492403876506104,0.008682408883346517,0.16122828537844705,-0.9143710436749227,-0.3713906763541039,-0.9284766908852593
0.17453292519943295,upper,0.0492403876506104,0.008682408883346517,-0.16122828537844705,0.9143710436749227,0.3713906763541038,0.9284766908852593
0.2617993877991494,lower,0.04829629131445342,0.012940952255126037,0.24030745053487118,-0.8968396148334841,-0.3713906763541037,-0.9284766908852594
0.2617993877991494,upper,0.04829629131445342,0.012940952255126037,-0.2403074505348712,0.8968396148334841,0.37139067635410367,0.9284766908852594
0.3490658503988659,lower,0.04698463103929543,0.017101007166283436,0.317557730891119,-0.8724826949965974,-0.37139067635410394,-0.9284766908852594
0.3490658503988659,upper,0.04698463103929543,0.017101007166283436,-0.317557730891119,0.8724826949965974,0.37139067635410355,0.9284766908852594
0.4363323129985824,lower,0.0453153893518325,0.021130913087034974,0.3923912051686851,-0.8414856550313312,-0.37139067635410405,-0.9284766908852595
0.4363323129985824,upper,0.0453153893518325,0.021130913087034974,-0.3923912051686851,0.8414856550313311,0.3713906763541037,0.9284766908852594
0.5235987755982988,lower,0.04330127018922194,0.024999999999999998,0.4642383454426295,-0.8040844011283462,-0.3713906763541034,-0.9284766908852593
0.5235987755982988,upper,0.04330127018922194,0.024999999999999998,-0.4642383454426295,0.8040844011283462,0.37139067635410355,0.9284766908852593
0.6108652381980153,lower,0.04095760221444959,0.028678821817552304,0.5325523515929791,-0.7605635794133386,-0.3713906763541038,-0.9284766908852595
0.6108652381980153,upper,0.04095760221444959,0.028678821817552304,-0.5325523515929791,0.7605635794133386,0.3713906763541035,0.9284766908852595
0.6981317007977318,lower,0.0383022221559489,0.03213938048432696,0.5968133127838037,-0.71125440961815,-0.37139067635410344,-0.9284766908852593
0.6981317007977318,upper,0.0383022221559489,0.03213938048432696,-0.5968133127838038,0.7112544096181501,0.3713906763541037,0.9284766908852595
0.7853981633974483,lower,0.03535533905932738,0.035355339059327376,0.6565321642986128,-0.6565321642986129,-0.37139067635410355,-0.9284766908852595
0.7853981633974483,upper,0.03535533905932738,0.035355339059327376,-0.6565321642986128,0.6565321642986129,0.37139067635410367,0.9284766908852595
0.8726646259971648,lower,0.03213938048432697,0.0383022221559489,0.7112544096181501,-0.5968133127838038,-0.3713906763541037,-0.9284766908852595
0.8726646259971648,upper,0.03213938048432697,0.0383022221559489,-0.7112544096181502,0.5968133127838039,0.37139067635410355,0.9284766908852596
0.9599310885968813,lower,0.02867882181755231,0.04095760221444959,0.7605635794133384,-0.5325523515929788,-0.3713906763541041,-0.9284766908852592
0.9599310885968813,upper,0.02867882181755231,0.04095760221444959,-0.7605635794133385,0.5325523515929788,0.3713906763541037,0.9284766908852593
1.0471975511965976,lower,0.02500000000000001,0.04330127018922193,0.804084401128346,-0.4642383454426299,-0.37139067635410333,-0.9284766908852593
1.0471975511965976,upper,0.02500000000000001,0.04330127018922193,-0.804084401128346,0.4642383454426298,0.3713906763541037,0.9284766908852593
1.1344640137963142,lower,0.021130913087034974,0.0453153893518325,0.8414856550313312,-0.3923912051686851,-0.37139067635410405,-0.9284766908852595
1.1344640137963142,upper,0.021130913087034974,0.0453153893518325,-0.8414856550313311,0.3923912051686851,0.3713906763541037,0.9284766908852594
1.2217304763960306,lower,0.017101007166283443,0.04698463103929542,0.8724826949965971,-0.31755773089111916,-0.371390676354104,-0.9284766908852594
1.2217304763960306,upper,0.017101007166283443,0.04698463103929542,-0.872482694996597,0.3175577308911191,0.3713906763541037,0.9284766908852593
1.3089969389957472,lower,0.012940952255126037,0.04829629131445342,0.8968396148334838,-0.24030745053487115,-0.3713906763541032,-0.9284766908852592
1.3089969389957472,upper,0.012940952255126037,0.04829629131445342,-0.896839614833484,0.24030745053487118,0.37139067635410355,0.9284766908852593
1.3962634015954636,lower,0.008682408883346522,0.0492403876506104,0.9143710436749227,-0.16122828537844716,-0.3713906763541039,-0.9284766908852594
1.3962634015954636,upper,0.008682408883346522,0.0492403876506104,-0.9143710436749227,0.16122828537844716,0.3713906763541037,0.9284766908852594
1.48352986419518,lower,0.0043577871373829185,0.04980973490458728,0.9249435567616637,-0.08092207561799275,-0.37139067635410405,-0.9284766908852593
1.48352986419518,upper,0.0043577871373829185,0.04980973490458728,-0.9249435567616637,0.08092207561799276,0.3713906763541038,0.9284766908852593
1.5707963267948966,lower,3.061616997868383e-18,0.05,0.9284766908852595,-5.685280037877798e-17,-0.3713906763541036,-0.9284766908852595
1.5707963267948966,upper,3.061616997868383e-18,0.05,-0.9284766908852595,5.685280037877798e-17,0.3713906763541036,0.9284766908852595
1.658062789394613,lower,-0.004357787137382901,0.04980973490458728,0.9249435567616641,0.08092207561799246,-0.3713906763541038,-0.9284766908852595
1.658062789394613,upper,-0.004357787137382901,0.04980973490458728,-0.9249435567616641,-0.08092207561799246,0.37139067635410355,0.9284766908852595
1.7453292519943295,lower,-0.008682408883346515,0.0492403876506104,0.9143710436749227,0.16122828537844705,-0.3713906763541039,-0.9284766908852593
1.7453292519943295,upper,-0.008682408883346515,0.0492403876506104,-0.9143710436749227,-0.16122828537844705,0.3713906763541038,0.9284766908852593
1.832595714594046,lower,-0.012940952255126032,0.04829629131445342,0.8968396148334838,0.24030745053487104,-0.37139067635410317,-0.9284766908852591
1.832595714594046,upper,-0.012940952255126032,0.04829629131445342,-0.896839614833484,-0.24030745053487104,0.37139067635410355,0.9284766908852592
1.9198621771937625,lower,-0.017101007166283436,0.04698463103929543,0.8724826949965973,0.31755773089111905,-0.3713906763541037,-0.9284766908852595
1.9198621771937625,upper,-0.017101007166283436,0.04698463103929543,-0.8724826949965973,-0.31755773089111905,0.37139067635410367,0.9284766908852595
2.007128639793479,lower,-0.021130913087034967,0.045315389351832505,0.8414856550313313,0.392391205168685,-0.3713906763541038,-0.9284766908852595
2.007128639793479,upper,-0.021130913087034967,0.045315389351832505,-0.8414856550313312,-0.392391205168685,0.37139067635410367,0.9284766908852594
2.0943951023931953,lower,-0.02499999999999999,0.04330127018922194,0.8040844011283461,0.4642383454426295,-0.3713906763541033,-0.9284766908852592
2.0943951023931953,upper,-0.02499999999999999,0.04330127018922194,-0.8040844011283461,-0.4642383454426295,0.3713906763541036,0.9284766908852592
