kx_Ainv,ky_Ainv,lower_eV,upper_eV,analytic_lower_eV,analytic_upper_eV
-0.1,0.0,-0.1,0.1,-0.1,0.1
-0.099,0.0,-0.099,0.099,-0.099,0.099
-0.098,0.0,-0.098,0.098,-0.098,0.098
-0.097,0.0,-0.097,0.097,-0.097,0.097
-0.096,0.0,-0.096,0.096,-0.096,0.096
-0.095,0.0,-0.095,0.095,-0.095,0.095
-0.094,0.0,-0.094,0.094,-0.094,0.094
-0.093,0.0,-0.093,0.093,-0.093,0.093
-0.092,0.0,-0.092,0.092,-0.092,0.092
-0.091,0.0,-0.091,0.091,-0.091,0.091
-0.09000000000000001,0.0,-0.09000000000000001,0.09000000000000001,-0.09000000000000001,0.09000000000000001
-0.08900000000000001,0.0,-0.08900000000000001,0.08900000000000001,-0.08900000000000001,0.08900000000000001
-0.08800000000000001,0.0,-0.08800000000000001,0.08800000000000001,-0.08800000000000001,0.08800000000000001
-0.08700000000000001,0.0,-0.08700000000000001,0.08700000000000001,-0.08700000000000001,0.08700000000000001
-0.08600000000000001,0.0,-0.08600000000000001,0.08600000000000001,-0.08600000000000001,0.08600000000000001
-0.085,0.0,-0.085,0.085,-0.085,0.085
-0.084,0.0,-0.084,0.084,-0.084,0.084
-0.083,0.0,-0.083,0.083,-0.083,0.083
-0.082,0.0,-0.082,0.082,-0.082,0.082
-0.081,0.0,-0.081,0.081,-0.081,0.081
-0.08,0.0,-0.08,0.08,-0.08,0.08
-0.079,0.0,-0.079,0.079,-0.079,0.079
-0.07800000000000001,0.0,-0.07800000000000001,0.07800000000000001,-0.07800000000000001,0.07800000000000001
-0.07700000000000001,0.0,-0.07700000000000001,0.07700000000000001,-0.07700000000000001,0.07700000000000001
-0.07600000000000001,0.0,-0.07600000000000001,0.07600000000000001,-0.07600000000000001,0.07600000000000001
-0.07500000000000001,0.0,-0.07500000000000001,0.07500000000000001,-0.07500000000000001,0.07500000000000001
-0.07400000000000001,0.0,-0.07400000000000001,0.07400000000000001,-0.07400000000000001,0.07400000000000001
-0.07300000000000001,0.0,-0.07300000000000001,0.07300000000000001,-0.07300000000000001,0.07300000000000001
-0.07200000000000001,0.0,-0.07200000000000001,0.07200000000000001,-0.07200000000000001,0.07200000000000001
-0.07100000000000001,0.0,-0.07100000000000001,0.07100000000000001,-0.07100000000000001,0.07100000000000001
-0.07,0.0,-0.07,0.07,-0.07,0.07
-0.069,0.0,-0.069,0.069,-0.069,0.069
-0.068,0.0,-0.068,0.068,-0.068,0.068
-0.067,0.0,-0.067,0.067,-0.067,0.067
-0.066,0.0,-0.066,0.066,-0.066,0.066
-0.065,0.0,-0.065,0.065,-0.065,0.065
-0.064,0.0,-0.064,0.064,-0.064,0.064
-0.063,0.0,-0.063,0.063,-0.063,0.063
-0.062000000000000006,0.0,-0.062000000000000006,0.062000000000000006,-0.062000000000000006,0.062000000000000006
-0.061000000000000006,0.0,-0.061000000000000006,0.061000000000000006,-0.061000000000000006,0.061000000000000006
-0.060000000000000005,0.0,-0.060000000000000005,0.060000000000000005,-0.060000000000000005,0.060000000000000005
-0.059000000000000004,0.0,-0.059000000000000004,0.059000000000000004,-0.059000000000000004,0.059000000000000004
-0.058,0.0,-0.058,0.058,-0.058,0.058
-0.057,0.0,-0.057,0.057,-0.057,0.057
-0.05600000000000001,0.0,-0.05600000000000001,0.05600000000000001,-0.05600000000000001,0.05600000000000001
-0.05500000000000001,0.0,-0.05500000000000001,0.05500000000000001,-0.05500000000000001,0.05500000000000001
-0.054000000000000006,0.0,-0.054000000000000006,0.054000000000000006,-0.054000000000000006,0.054000000000000006
-0.053000000000000005,0.0,-0.053000000000000005,0.053000000000000005,-0.053000000000000005,0.053000000000000005
-0.052000000000000005,0.0,-0.052000000000000005,0.052000000000000005,-0.052000000000000005,0.052000000000000005
-0.051000000000000004,0.0,-0.051000000000000004,0.051000000000000004,-0.051000000000000004,0.051000000000000004
-0.05,0.0,-0.05,0.05,-0.05,0.05
-0.049,0.0,-0.049,0.049,-0.049,0.049
-0.048,0.0,-0.048,0.048,-0.048,0.048
-0.04700000000000001,0.0,-0.04700000000000001,0.04700000000000001,-0.04700000000000001,0.04700000000000001
-0.046000000000000006,0.0,-0.046000000000000006,0.046000000000000006,-0.046000000000000006,0.046000000000000006
-0.045000000000000005,0.0,-0.045000000000000005,0.045000000000000005,-0.045000000000000005,0.045000000000000005
-0.044000000000000004,0.0,-0.044000000000000004,0.044000000000000004,-0.044000000000000004,0.044000000000000004
-0.043000000000000003,0.0,-0.043000000000000003,0.043000000000000003,-0.043000000000000003,0.043000000000000003
-0.042,0.0,-0.042,0.042,-0.042,0.042
-0.041,0.0,-0.041,0.041,-0.041,0.041
-0.04000000000000001,0.0,-0.04000000000000001,0.04000000000000001,-0.04000000000000001,0.04000000000000001
-0.03900000000000001,0.0,-0.03900000000000001,0.03900000000000001,-0.03900000000000001,0.03900000000000001
-0.038000000000000006,0.0,-0.038000000000000006,0.038000000000000006,-0.038000000000000006,0.038000000000000006
-0.037000000000000005,0.0,-0.037000000000000005,0.037000000000000005,-0.037000000000000005,0.037000000000000005
-0.036000000000000004,0.0,-0.036000000000000004,0.036000000000000004,-0.036000000000000004,0.036000000000000004
-0.035,0.0,-0.035,0.035,-0.035,0.035
-0.034,0.0,-0.034,0.034,-0.034,0.034
-0.033,0.0,-0.033,0.033,-0.033,0.033
-0.032,0.0,-0.032,0.032,-0.032,0.032
-0.031,0.0,-0.031,0.031,-0.031,0.031
-0.03,0.0,-0.03,0.03,-0.03,0.03
-0.028999999999999998,0.0,-0.028999999999999998,0.028999999999999998,-0.028999999999999998,0.028999999999999998
-0.027999999999999997,0.0,-0.027999999999999997,0.027999999999999997,-0.027999999999999997,0.027999999999999997
-0.02700000000000001,0.0,-0.02700000000000001,0.02700000000000001,-0.02700000000000001,0.02700000000000001
-0.02600000000000001,0.0,-0.02600000000000001,0.02600000000000001,-0.02600000000000001,0.02600000000000001
-0.02500000000000001,0.0,-0.02500000000000001,0.02500000000000001,-0.02500000000000001,0.02500000000000001
-0.024000000000000007,0.0,-0.024000000000000007,0.024000000000000007,-0.024000000000000007,0.024000000000000007
-0.023000000000000007,0.0,-0.023000000000000007,0.023000000000000007,-0.023000000000000007,0.023000000000000007
-0.022000000000000006,0.0,-0.022000000000000006,0.022000000000000006,-0.022000000000000006,0.022000000000000006
-0.021000000000000005,0.0,-0.021000000000000005,0.021000000000000005,-0.021000000000000005,0.021000000000000005
-0.020000000000000004,0.0,-0.020000000000000004,0.020000000000000004,-0.020000000000000004,0.020000000000000004
-0.019000000000000003,0.0,-0.019000000000000003,0.019000000000000003,-0.019000000000000003,0.019000000000000003
-0.018000000000000002,0.0,-0.018000000000000002,0.018000000000000002,-0.018000000000000002,0.018000000000000002
-0.017,0.0,-0.017,0.017,-0.017,0.017
-0.016,0.0,-0.016,0.016,-0.016,0.016
-0.015,0.0,-0.015,0.015,-0.015,0.015
-0.013999999999999999,0.0,-0.013999999999999999,0.013999999999999999,-0.013999999999999999,0.013999999999999999
-0.012999999999999998,0.0,-0.012999999999999998,0.012999999999999998,-0.012999999999999998,0.012999999999999998
-0.01200000000000001,0.0,-0.01200000000000001,0.01200000000000001,-0.01200000000000001,0.01200000000000001
-0.01100000000000001,0.0,-0.01100000000000001,0.01100000000000001,-0.01100000000000001,0.01100000000000001
-0.010000000000000009,0.0,-0.010000000000000009,0.010000000000000009,-0.010000000000000009,0.010000000000000009
-0.009000000000000008,0.0,-0.009000000000000008,0.009000000000000008,-0.009000000000000008,0.009000000000000008
-0.008000000000000007,0.0,-0.008000000000000007,0.008000000000000007,-0.008000000000000007,0.008000000000000007
-0.007000000000000006,0.0,-0.007000000000000006,0.007000000000000006,-0.007000000000000006,0.007000000000000006
-0.006000000000000005,0.0,-0.006000000000000005,0.006000000000000005,-0.006000000000000005,0.006000000000000005
-0.0050000000000000044,0.0,-0.0050000000000000044,0.0050000000000000044,-0.0050000000000000044,0.0050000000000000044
-0.0040000000000000036,0.0,-0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036
-0.0030000000000000027,0.0,-0.0030000000000000027,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027
