x_A,mass_eV,probability_density_Ainv
-410.0,-0.01999999698261689,3.0173828847076414e-09
-405.0,-0.019999996314560006,3.6854396547030288e-09
-400.0,-0.019999995498593517,4.5014059756372906e-09
-395.0,-0.019999994501969844,5.498029400268697e-09
-390.0,-0.019999993284691008,6.715307865213722e-09
-385.0,-0.01999999179790338,8.20209493872792e-09
-380.0,-0.01999998998193702,1.0018060471230563e-08
-375.0,-0.019999987763910924,1.2236085333978107e-08
-370.0,-0.019999985054808066,1.4945186351600854e-08
-365.0,-0.01999998174590286,1.8254088811009057e-08
-360.0,-0.019999977704397657,2.2295589916077268e-08
-355.0,-0.019999972768093163,2.723188829705527e-08
-350.0,-0.019999966738878893,3.326109344901087e-08
-345.0,-0.01999995937478242,4.062517631964253e-08
-340.0,-0.019999950380258355,4.961968009225411e-08
-335.0,-0.01999993939432734,6.060558083321295e-08
-330.0,-0.019999925976089086,7.402377392605347e-08
-325.0,-0.019999909587028086,9.041276755350569e-08
-320.0,-0.01999988956940199,1.1043029313479745e-07
-315.0,-0.01999986511984545,1.348796997312292e-07
-310.0,-0.019999835257130207,1.6474219128797652e-07
-305.0,-0.01999979878278793,2.0121619986104438e-07
-300.0,-0.019999754233015914,2.4576547405332713e-07
-295.0,-0.019999699819936118,3.0017781118263135e-07
-290.0,-0.019999633359851207,3.666367881691659e-07
-285.0,-0.019999552185619798,4.4780936676155415e-07
-280.0,-0.019999453039636617,5.469528842430117e-07
-275.0,-0.019999331943126076,6.680457164241368e-07
-270.0,-0.019999184036508803,8.159468462863803e-07
-265.0,-0.019999003384442424,9.96590726512957e-07
-260.0,-0.01999878273772398,1.2172252328363989e-06
-255.0,-0.019998513242515885,1.4867022229201646e-06
-250.0,-0.0199981840852519,1.815832309438068e-06
-245.0,-0.01999778205901109,2.217818007356042e-06
-240.0,-0.01999729103401521,2.7087825223731436e-06
-235.0,-0.019996691311085932,3.308415228508406e-06
-230.0,-0.019995958832243692,4.04075948039005e-06
-225.0,-0.01999506421696055,4.9351739905939536e-06
-220.0,-0.01999397158567761,6.027505777909242e-06
-215.0,-0.019992637123801463,7.3615208998890935e-06
-210.0,-0.01999100732919067,8.990649106124684e-06
