ky_Ainv,energy_eV,analytic_energy_eV,bulk_edge_abs_eV,binding_margin_eV
-0.05,-0.05,-0.05,0.05385164807134505,0.003851648071345047
-0.049,-0.049,-0.049,0.05292447448959697,0.003924474489596971
-0.048,-0.048,-0.048,0.052000000000000005,0.0040000000000000036
-0.047,-0.04700000000000001,-0.047,0.051078371156488535,0.004078371156488528
-0.046,-0.046,-0.046,0.05015974481593781,0.00415974481593781
-0.045000000000000005,-0.045,-0.045000000000000005,0.04924428900898053,0.00424428900898053
-0.044000000000000004,-0.044000000000000004,-0.044000000000000004,0.048332183894378294,0.00433218389437829
-0.043000000000000003,-0.043,-0.043000000000000003,0.04742362280551751,0.004423622805517516
-0.042,-0.041999999999999996,-0.042,0.04651881339845203,0.004518813398452032
-0.041,-0.041,-0.041,0.04561797891182818,0.004617978911828177
-0.04,-0.04000000000000001,-0.04,0.044721359549995794,0.004721359549995786
-0.03900000000000001,-0.03900000000000001,-0.03900000000000001,0.043829214001622256,0.004829214001622249
-0.038000000000000006,-0.038,-0.038000000000000006,0.04294182110716778,0.004941821107167781
-0.037000000000000005,-0.037000000000000005,-0.037000000000000005,0.042059481689626185,0.00505948168962618
-0.036000000000000004,-0.036,-0.036000000000000004,0.04118252056394801,0.005182520563948009
-0.035,-0.035,-0.035,0.04031128874149275,0.0053112887414927465
-0.034,-0.034,-0.034,0.03944616584663204,0.005446165846632038
-0.033,-0.033,-0.033,0.03858756276314948,0.005587562763149478
-0.032,-0.03200000000000001,-0.032,0.03773592452822641,0.0057359245282264035
-0.031000000000000003,-0.031000000000000003,-0.031000000000000003,0.036891733491393436,0.005891733491393433
-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,0.0360555127546399,0.006055512754639895
-0.029,-0.029,-0.029,0.035227829907617074,0.0062278299076170725
-0.028000000000000004,-0.028,-0.028000000000000004,0.03440930106817051,0.006409301068170507
-0.027000000000000003,-0.027000000000000007,-0.027000000000000003,0.03360059523282289,0.006600595232822883
-0.026000000000000002,-0.026000000000000002,-0.026000000000000002,0.03280243893371345,0.006802438933713448
-0.025,-0.024999999999999998,-0.025,0.032015621187164243,0.007015621187164246
-0.024,-0.024000000000000004,-0.024,0.031240998703626618,0.007240998703626614
-0.023000000000000003,-0.023,-0.023000000000000003,0.030479501308256343,0.007479501308256344
-0.022000000000000002,-0.022000000000000002,-0.022000000000000002,0.029732137494637014,0.007732137494637012
-0.021,-0.020999999999999998,-0.021,0.029,0.008000000000000004
-0.020000000000000004,-0.020000000000000004,-0.020000000000000004,0.028284271247461905,0.008284271247461901
-0.019000000000000003,-0.019,-0.019000000000000003,0.02758622844826745,0.008586228448267449
-0.018000000000000002,-0.018,-0.018000000000000002,0.02690724809414742,0.008907248094147422
-0.017,-0.017000000000000005,-0.017,0.026248809496813377,0.009248809496813372
-0.016,-0.016000000000000004,-0.016,0.025612496949731396,0.009612496949731392
-0.015,-0.015000000000000001,-0.015,0.025,0.01
-0.013999999999999999,-0.013999999999999997,-0.013999999999999999,0.024413111231467405,0.010413111231467409
-0.013000000000000005,-0.013000000000000005,-0.013000000000000005,0.023853720883753128,0.010853720883753123
-0.012000000000000004,-0.012000000000000005,-0.012000000000000004,0.023323807579381205,0.0113238075793812
-0.011000000000000003,-0.011000000000000001,-0.011000000000000003,0.02282542442102666,0.011825424421026657
-0.010000000000000002,-0.010000000000000002,-0.010000000000000002,0.022360679774997897,0.012360679774997895
-0.009000000000000001,-0.009,-0.009000000000000001,0.02193171219946131,0.012931712199461312
-0.008,-0.008000000000000002,-0.008,0.021540659228538015,0.013540659228538013
-0.006999999999999999,-0.006999999999999998,-0.006999999999999999,0.02118962010041709,0.014189620100417091
-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,0.0208806130178211,0.014880613017821096
-0.0050000000000000044,-0.005000000000000005,-0.0050000000000000044,0.020615528128088305,0.0156155281280883
-0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036,0.02039607805437114,0.016396078054371137
-0.0030000000000000027,-0.003000000000000003,-0.0030000000000000027,0.020223748416156685,0.017223748416156683
-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,0.02009975124224178,0.01809975124224178
-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.020024984394500785,0.019024984394500784
0.0,0.0,0.0,0.02,0.02
0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.020024984394500785,0.019024984394500784
0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.02009975124224178,0.01809975124224178
0.0029999999999999957,0.002999999999999996,0.0029999999999999957,0.020223748416156685,0.01722374841615669
0.003999999999999997,0.003999999999999997,0.003999999999999997,0.020396078054371138,0.01639607805437114
0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0206155281280883,0.015615528128088304
0.005999999999999998,0.005999999999999998,0.005999999999999998,0.020880613017821098,0.0148806130178211
0.006999999999999999,0.006999999999999998,0.006999999999999999,0.02118962010041709,0.014189620100417091
0.008,0.008000000000000002,0.008,0.021540659228538015,0.013540659228538013
0.009000000000000001,0.009,0.009000000000000001,0.02193171219946131,0.012931712199461312
0.009999999999999995,0.009999999999999995,0.009999999999999995,0.022360679774997894,0.012360679774997899
0.010999999999999996,0.010999999999999994,0.010999999999999996,0.022825424421026655,0.01182542442102666
0.011999999999999997,0.011999999999999997,0.011999999999999997,0.0233238075793812,0.011323807579381204
0.012999999999999998,0.012999999999999996,0.012999999999999998,0.023853720883753125,0.010853720883753129
0.013999999999999999,0.013999999999999997,0.013999999999999999,0.024413111231467405,0.010413111231467409
